,no_of_items,variation,total,paid,change
631,5,3,451.0,500.0,49.0
632,3,1,468.0,1000.0,532.0
633,2,1,212.0,250.0,38.0
634,1,1,50.0,1000.0,950.0
635,1,1,45.0,100.0,55.0
636,8,4,982.0,1000.0,10.0
637,1,1,63.0,65.0,2.0
638,5,4,462.0,500.0,38.0
639,2,1,110.0,500.0,390.0
640,2,2,129.0,200.0,71.0
641,3,2,449.0,500.0,51.0
642,1,1,85.0,200.0,115.0
643,1,1,150.0,500.0,350.0
644,3,1,265.0,500.0,235.0
645,4,3,186.0,200.0,14.0
646,3,2,160.0,200.0,40.0
647,1,1,65.0,200.0,135.0
648,5,1,254.0,254.0,0.0
649,1,1,107.0,150.0,43.0
650,2,2,90.0,100.0,10.0
651,1,1,90.0,100.0,10.0
652,1,1,25.0,30.0,5.0
653,9,4,1247.0,2000.0,753.0
654,3,2,201.0,201.0,0.0
655,1,1,60.0,60.0,0.0
656,3,2,238.0,500.0,262.0
657,6,3,562.0,1000.0,438.0
658,1,1,50.0,50.0,0.0
659,1,1,30.0,30.0,0.0
660,5,1,477.0,1000.0,523.0
661,1,1,180.0,1000.0,820.0
662,6,4,611.0,1000.0,389.0
663,5,2,547.0,1000.0,453.0
664,4,2,255.0,1000.0,745.0
665,2,1,153.0,200.0,47.0
666,1,1,60.0,100.0,40.0
667,1,1,55.0,60.0,5.0
668,1,1,145.0,500.0,355.0
669,1,1,100.0,1000.0,900.0
670,1,1,10.0,20.0,10.0
671,2,1,123.0,1000.0,877.0
672,3,3,100.0,200.0,32.0
673,3,2,205.0,250.0,45.0
674,1,1,150.0,200.0,50.0
675,5,3,359.0,400.0,41.0
676,3,1,504.0,1000.0,496.0
677,1,1,10.0,495.0,485.0
678,2,1,92.0,100.0,8.0
679,3,2,153.0,200.0,47.0
680,5,2,516.0,520.0,4.0
681,1,1,325.0,350.0,25.0
682,1,1,60.0,500.0,440.0
683,3,2,419.0,419.0,0.0
684,1,1,55.0,100.0,45.0
685,1,1,55.0,70.0,15.0
686,6,4,618.0,1000.0,382.0
687,1,1,70.0,70.0,0.0
688,4,1,246.0,250.0,4.0
689,1,1,170.0,170.0,0.0
690,1,1,61.0,65.0,4.0
691,5,3,235.0,500.0,265.0
692,1,1,40.0,50.0,10.0
693,1,1,140.0,140.0,0.0
694,1,1,55.0,55.0,0.0
695,1,1,50.0,200.0,150.0
696,1,1,90.0,100.0,10.0
697,3,1,381.0,1000.0,619.0
698,2,1,130.0,200.0,70.0
699,1,1,1250.0,1250.0,0.0
700,1,1,49.0,100.0,51.0
701,1,1,800.0,2000.0,1200.0
702,4,2,310.0,1000.0,690.0
703,2,1,395.0,1000.0,605.0
704,6,2,1842.0,1842.0,0.0
705,2,1,1385.0,1385.0,0.0
706,15,3,1937.0,2000.0,63.0
707,2,1,123.0,150.0,27.0
708,3,3,388.0,500.0,112.0
709,1,1,110.0,150.0,40.0
710,2,1,159.0,200.0,41.0
711,1,1,58.0,100.0,42.0
712,1,1,99.0,200.0,101.0
713,1,1,75.0,100.0,25.0
714,4,1,1779.0,1779.0,0.0
715,1,1,90.0,500.0,410.0
716,1,1,45.0,50.0,5.0
717,2,1,177.0,1000.0,823.0
718,6,2,1712.0,1712.0,0.0
719,1,1,60.0,60.0,0.0
720,2,2,1380.0,1380.0,0.0
721,1,1,90.0,1000.0,910.0
722,3,2,971.0,971.0,0.0
723,4,2,3970.0,3970.0,0.0
724,1,1,49.0,50.0,1.0
725,1,1,55.0,200.0,145.0
726,7,3,1175.0,1175.0,0.0
727,2,2,516.0,516.0,0.0
728,10,5,6259.0,6259.0,0.0
729,11,2,1905.0,1905.0,0.0
730,1,1,190.0,1000.0,810.0
731,2,2,960.0,1000.0,40.0
732,1,1,360.0,1000.0,640.0
733,1,1,80.0,100.0,20.0
734,1,1,45.0,50.0,5.0
735,1,1,25.0,500.0,475.0
736,1,1,49.0,1000.0,951.0
737,2,1,150.0,1000.0,850.0
738,1,1,280.0,1000.0,720.0
739,4,2,280.0,1000.0,720.0
740,3,1,205.0,500.0,295.0
741,1,1,545.0,545.0,0.0
